[run 1/994] poly_d2_o2 point_000 war weights=(0.001,)
[run 305/994] cahn_hilliard_o6 point_047 war weights=(1000.0, 100.0)
[run 306/994] cahn_hilliard_o6 point_047 real_tanh_autodiff weights=(1000.0, 100.0)
[run 307/994] cahn_hilliard_o6 point_048 war weights=(1000.0, 1000.0)
[run 308/994] cahn_hilliard_o6 point_048 real_tanh_autodiff weights=(1000.0, 1000.0)
[run 309/994] poly_d2_o6 point_000 war weights=(0.001, 0.001, 0.001)
[run 310/994] poly_d2_o6 point_000 real_tanh_autodiff weights=(0.001, 0.001, 0.001)
[run 311/994] poly_d2_o6 point_001 war weights=(0.001, 0.001, 0.01)
[run 312/994] poly_d2_o6 point_001 real_tanh_autodiff weights=(0.001, 0.001, 0.01)
[run 313/994] poly_d2_o6 point_002 war weights=(0.001, 0.001, 0.1)
[run 314/994] poly_d2_o6 point_002 real_tanh_autodiff weights=(0.001, 0.001, 0.1)
