candidate_id,candidate_index,real_tanh_autodiff_divergence_rms,real_tanh_autodiff_energy_relative_rmse,real_tanh_autodiff_loss,real_tanh_autodiff_pressure_mean_max_abs,real_tanh_autodiff_pressure_rel_error,real_tanh_autodiff_rel_error,real_tanh_autodiff_status,real_tanh_autodiff_steps,real_tanh_autodiff_velocity_rel_error,war_divergence_rms,war_energy_relative_rmse,war_loss,war_pressure_mean_max_abs,war_pressure_rel_error,war_rel_error,war_status,war_steps,war_velocity_rel_error,weight_labels,weight_map,weights
point_010,10,0.0013063392834737897,0.9999892711639404,0.0024924161843955517,0.0008237629663199186,1.000049114227295,0.9993910193443298,complete,273,0.9993910193443298,0.0005082965944893658,0.9999698400497437,0.0024518584832549095,0.00020039464288856834,1.0000131130218506,0.9995419383049011,complete,1080,0.9995419383049011,"[""1e-2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.01}","[0.01, 1.0]"
point_011,11,0.0015483193565160036,0.9999873638153076,0.0025987173430621624,0.0008595710969530046,0.9999977350234985,0.9995710253715515,complete,284,0.9995710253715515,0.0002445815480314195,0.9999508261680603,0.0025059848558157682,0.00021006164024583995,0.9999995231628418,0.9998092651367188,complete,1065,0.9998092651367188,"[""1e-2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.01}","[0.01, 10.0]"
point_012,12,0.0011373094748705626,0.999993085861206,0.0025216771755367517,0.0016908328980207443,1.0000427961349487,0.9998689293861389,complete,287,0.9998689293861389,0.00013586197746917605,0.9999863505363464,0.0025885708164423704,0.0002729132538661361,0.9999972581863403,0.9999300241470337,complete,1087,0.9999300241470337,"[""1e-2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.01}","[0.01, 100.0]"
point_013,13,0.000594864774029702,0.9999417662620544,0.0029365054797381163,0.0020680809393525124,0.999870777130127,1.0002130270004272,complete,291,1.0002130270004272,4.580938184517436e-05,0.999944806098938,0.0023776465095579624,0.0001391931000398472,0.999994158744812,0.9999691247940063,complete,1078,0.9999691247940063,"[""1e-2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.01}","[0.01, 1000.0]"
point_014,14,0.0032590108457952738,0.9996772408485413,0.025094609707593918,0.0005395673215389252,1.0001766681671143,0.9943397641181946,complete,289,0.9943397641181946,0.010499182157218456,0.5330926179885864,0.01324005052447319,0.0007670569466426969,1.0018025636672974,0.6949478387832642,complete,1083,0.6949478387832642,"[""1e-1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.1}","[0.1, 0.001]"
point_015,15,0.002961056539788842,0.9996206760406494,0.025173436850309372,0.0006326980073936284,1.000135898590088,0.9952684640884399,complete,271,0.9952684640884399,0.010997716337442398,0.5540337562561035,0.013877997174859047,0.001232448616065085,0.9982950091362,0.6971603035926819,complete,1076,0.6971603035926819,"[""1e-1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.1}","[0.1, 0.01]"
point_016,16,0.003062478732317686,0.9998820424079895,0.02422882616519928,0.00041994082857854664,1.0001477003097534,0.9956520795822144,complete,283,0.9956520795822144,0.014121218584477901,0.951867401599884,0.02054617740213871,0.0003594410663936287,1.0001780986785889,0.8871333003044128,complete,1085,0.8871333003044128,"[""1e-1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.1}","[0.1, 0.1]"
point_017,17,0.001543716643936932,0.9999012351036072,0.024917272850871086,0.0007090735016390681,1.0000354051589966,0.9977062344551086,complete,268,0.9977062344551086,0.0017736590234562755,0.9998847246170044,0.02490272745490074,0.0004890834097750485,1.0000182390213013,0.9972663521766663,complete,1077,0.9972663521766663,"[""1e-1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.1}","[0.1, 1.0]"
point_018,18,0.0015268283896148205,0.9999520182609558,0.025102917104959488,0.0009595779702067375,0.9999867677688599,0.9992014765739441,complete,294,0.9992014765739441,0.0003977852175012231,0.9999637007713318,0.02518657222390175,0.0003170949639752507,0.9999961256980896,0.9990900158882141,complete,1117,0.9990900158882141,"[""1e-1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.1}","[0.1, 10.0]"
point_019,19,0.0011278028832748532,0.9999570250511169,0.024937303736805916,0.0017072618938982487,1.0000360012054443,0.9998006820678711,complete,291,0.9998006820678711,0.00016521020734217018,0.9999620914459229,0.025384366512298584,0.0004454407899174839,0.9999948143959045,0.9998743534088135,complete,1135,0.9998743534088135,"[""1e-1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.1}","[0.1, 100.0]"
