elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id
540.0,0.0005614839449006109,0.0002022501534634211,9.243306848912167e-05,0.00011308537119777783,0.00024500888797022595,war,"WAR (complex64, sinh)",0.10766978684979386,0.07777613857221992,0.06384007265464238,0.07399521680701088,0.08744290042679398,zk_2d_o3
560.0,0.00038903969224740435,0.00026245116122174583,4.4804124695577045e-05,0.00021932225060238459,0.0003397499129319368,war,"WAR (complex64, sinh)",0.08733858817443671,0.068277905999648,0.063656371287147,0.06790811240532216,0.07664625064181077,zk_2d_o3
580.0,0.0004540596441460465,8.760664401150165e-05,4.1077703170064764e-05,4.642273328010473e-05,0.0001888881240833096,war,"WAR (complex64, sinh)",0.07463939459168538,0.058252814362380424,0.04713899670562084,0.0563306997281204,0.07147447296483535,zk_2d_o3
600.0,0.0021342165719202416,0.00010976867679402368,4.88350297983849e-05,6.646103507616554e-05,0.00011934998501803252,war,"WAR (complex64, sinh)",0.06674816148722405,0.05386020819385371,0.049843372667923255,0.05113686498172811,0.06424989014006557,zk_2d_o3
620.0,0.0002845628113692637,0.00019348566049798597,0.00010045125240274239,0.00018590761472875525,0.00022466992333914897,war,"WAR (complex64, sinh)",0.06491121051633429,0.06073267053335445,0.043722799632435555,0.05116677816075729,0.06490719483974451,zk_2d_o3
640.0,0.0003074620334642595,3.761984207959264e-05,1.8706509967133013e-05,2.7742607356456042e-05,9.158271332655224e-05,war,"WAR (complex64, sinh)",0.06767785612942412,0.05056426653697663,0.03438970145918199,0.04742371456590894,0.061205147895282926,zk_2d_o3
660.0,0.0006488371907047189,7.224004449568925e-05,2.3343845088349048e-05,2.540862266963583e-05,0.000143150418135038,war,"WAR (complex64, sinh)",0.06309037701373683,0.052941327588758975,0.045051757433654936,0.05041647939969045,0.0540054642875248,zk_2d_o3
680.0,0.0004067661389258818,0.00024543655144692174,2.416993532540503e-05,0.00012055436091062899,0.0003372943792394549,war,"WAR (complex64, sinh)",0.06586417609950583,0.04421798799483226,0.03369677399020236,0.03695014876306314,0.05398904431067007,zk_2d_o3
700.0,0.00019458600953957628,7.243533524604801e-05,5.2465306221151274e-05,6.678581351828645e-05,7.269411869039449e-05,war,"WAR (complex64, sinh)",0.05471577869640891,0.0455110809761425,0.03376416326635016,0.03695074304150462,0.05005908264567944,zk_2d_o3
720.0,0.0006070096334198595,4.902521579287312e-05,1.6776651690940517e-05,4.628851191179491e-05,0.00023134342145244573,war,"WAR (complex64, sinh)",0.06490243632036076,0.046114258996533514,0.028763867783529466,0.04559850994358597,0.047561335936145276,zk_2d_o3
740.0,0.0002160942185572294,6.798175310110837e-05,2.7932744558195656e-05,2.984010419244235e-05,8.304495606285173e-05,war,"WAR (complex64, sinh)",0.048174503663964,0.03661634899944697,0.03152581845166254,0.03163436817802835,0.04475683829139139,zk_2d_o3
760.0,0.0003815855133057455,4.314291220443883e-05,1.1985977887005303e-05,1.2354144139242335e-05,0.0001906621114741658,war,"WAR (complex64, sinh)",0.05530223769029189,0.03531146415601821,0.030108506585136852,0.033340657110984134,0.04507473896993126,zk_2d_o3
780.0,0.00030359025533568875,0.00010257765966844888,2.3107187083559884e-05,2.3126524299600292e-05,0.0001666618900869443,war,"WAR (complex64, sinh)",0.04627120957899728,0.03509937917474572,0.02631476180879389,0.03427639243078567,0.03941874001841413,zk_2d_o3
800.0,5.8868957445754325e-05,2.523032451831716e-05,1.4573103357426477e-05,2.5041047960915373e-05,3.990291876786049e-05,war,"WAR (complex64, sinh)",0.04105055463657333,0.030289218651610057,0.027181172935970204,0.02764767197652281,0.03814732089996583,zk_2d_o3
820.0,0.00023981432189397193,9.277154837647957e-05,6.972062915355005e-05,8.74304818177452e-05,0.0001624765248457974,war,"WAR (complex64, sinh)",0.03873693627598207,0.03127815069157817,0.023087846808787317,0.02895916743622031,0.037223010858672655,zk_2d_o3
840.0,0.00019161420845321993,1.332949360967926e-05,8.514961093897187e-06,9.45660845813981e-06,1.904849003285621e-05,war,"WAR (complex64, sinh)",0.03902312034371518,0.028137474907649836,0.020327579736052735,0.02425011475934703,0.03320087083391213,zk_2d_o3
860.0,8.176230376024823e-05,5.2099691041313965e-05,3.1848091770490774e-05,3.3464799281606846e-05,7.198563424236498e-05,war,"WAR (complex64, sinh)",0.03402951667310794,0.030415860458010497,0.021154612549043047,0.024032732622281786,0.03266746448813032,zk_2d_o3
880.0,0.00017486435630248656,3.981389730126528e-05,1.7634503768572973e-05,2.3763336573457472e-05,4.6913110102546786e-05,war,"WAR (complex64, sinh)",0.03268239005084569,0.027780553311660378,0.021919777976489294,0.025834088058558007,0.03035474857606178,zk_2d_o3
