elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
535.0,0.00010550956052915088,9.005538744233419e-05,5.1829112648147796e-05,5.849004246322573e-05,9.210547377718132e-05,war,WAR (complex64),0.026036972984567645,0.01765647175405516,0.013743413033368752,0.014709833934507529,0.018349088096957594,cahn_hilliard_2d_o6,CH6
540.0,0.00046743038619886967,7.547970871000495e-05,5.416257006657663e-05,5.6499561762123224e-05,0.00014644082590194892,war,WAR (complex64),0.0362877420141223,0.01665580066965019,0.014374192837184196,0.01573572815638217,0.018803171688719953,cahn_hilliard_2d_o6,CH6
545.0,0.00046247920051904035,7.818848170327017e-05,3.064671406717979e-05,5.0902419465731194e-05,0.0001569298797906348,war,WAR (complex64),0.02441563267260406,0.016009069532710814,0.012176596101424597,0.014716810567544062,0.020553849920182086,cahn_hilliard_2d_o6,CH6
550.0,8.69387602797645e-05,6.461381106280507e-05,5.770066459116136e-05,6.328725386883087e-05,6.664010684522718e-05,war,WAR (complex64),0.02401436995496799,0.018660808335352278,0.012711410965613318,0.015537001653603697,0.020215020730541863,cahn_hilliard_2d_o6,CH6
555.0,0.0002464594636520763,6.260104286633032e-05,4.719950630493963e-05,6.0809573156633076e-05,6.902119665575071e-05,war,WAR (complex64),0.03296119436471634,0.018524712053910965,0.012366109680124204,0.016691248072935167,0.019332316934555133,cahn_hilliard_2d_o6,CH6
560.0,7.843711786007674e-05,5.7715761638178774e-05,4.4672213847078265e-05,4.491508512011808e-05,5.7901408347084126e-05,war,WAR (complex64),0.020249989719615467,0.01811800528690626,0.011735625085918631,0.015664980268871916,0.019614507232098125,cahn_hilliard_2d_o6,CH6
565.0,7.408464727123962e-05,5.469206222959103e-05,4.3904611183618796e-05,4.5965670496881627e-05,5.841261856377962e-05,war,WAR (complex64),0.021726136216065898,0.016058087341912095,0.011652225281667785,0.014828834640349023,0.019766483265781856,cahn_hilliard_2d_o6,CH6
570.0,0.0008761596144803605,6.301385220137018e-05,4.038494149083146e-05,5.834275408834888e-05,9.433588804923611e-05,war,WAR (complex64),0.02893307689133396,0.015295777357061679,0.012751486386441406,0.014979276141878087,0.020413011941116783,cahn_hilliard_2d_o6,CH6
575.0,0.0020926827657539357,4.9620182146819494e-05,4.0116233771500144e-05,4.8354820938451703e-05,0.0009355265157371076,war,WAR (complex64),0.0648155688039607,0.014749253256886004,0.01168224832881982,0.014227298017163905,0.05115463158893014,cahn_hilliard_2d_o6,CH6
580.0,0.0031095824499463107,0.00021151786344536278,4.4487161200959424e-05,5.024828804914425e-05,0.0004911488681168086,war,WAR (complex64),0.08688716212073753,0.015796345412771914,0.013226983770935941,0.01484344950175273,0.02638249679531002,cahn_hilliard_2d_o6,CH6
585.0,0.0003239807104838769,4.930072543108515e-05,3.9970826627037184e-05,4.464715032422532e-05,0.00012851626619894943,war,WAR (complex64),0.03962952869565041,0.015796629263202105,0.013242885827419532,0.01381638540267463,0.016285213583630626,cahn_hilliard_2d_o6,CH6
590.0,0.0010669515740745566,5.2191771438591456e-05,3.795988475562415e-05,4.339315873343781e-05,5.3180294578338606e-05,war,WAR (complex64),0.10331456186649163,0.013538542767723233,0.01109888722605592,0.013517451196012194,0.030513566121844516,cahn_hilliard_2d_o6,CH6
595.0,0.000130105609613767,4.249396955927325e-05,3.6804546316953314e-05,4.248801466040149e-05,4.302068171616441e-05,war,WAR (complex64),0.030037736941181756,0.014634970118067732,0.01057075414540816,0.013039481693483646,0.02769986194832426,cahn_hilliard_2d_o6,CH6
