task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,complex_sinh,569.923575,2.7155374295e-02,2.1682462401e-02,2.9810742288e-02,2.6933536482e-02,2.1682462401e-02,2.9810742288e-02,5
poly_d2_o4,complex_sinh,576.628559,2.6621149781e-02,2.1303569671e-02,2.8932482177e-02,2.6621149781e-02,2.1303569671e-02,2.8932482177e-02,5
poly_d2_o4,complex_sinh,583.333542,2.6491891958e-02,2.1438229804e-02,2.8428710395e-02,2.6491891958e-02,2.1106418928e-02,2.8416848607e-02,5
poly_d2_o4,complex_sinh,590.038525,2.5794509743e-02,2.0983806782e-02,2.7743191504e-02,2.5794509743e-02,2.0983806782e-02,2.7720783642e-02,5
poly_d2_o4,complex_sinh,596.743508,2.5293514803e-02,2.0437445559e-02,2.6898471857e-02,2.5293514803e-02,2.0437445559e-02,2.6898471857e-02,5
poly_d2_o4,complex_sinh,603.448492,2.4595192950e-02,2.0088260392e-02,2.6281722329e-02,2.4595192950e-02,2.0088260392e-02,2.6281722329e-02,5
poly_d2_o4,complex_sinh,610.153475,2.4072218742e-02,1.9761838472e-02,2.5573273753e-02,2.4072218742e-02,1.9761838472e-02,2.5573273753e-02,5
poly_d2_o4,complex_sinh,616.858458,2.3572841892e-02,1.9436524120e-02,2.4961475131e-02,2.3572841892e-02,1.9436524120e-02,2.4961475131e-02,5
poly_d2_o4,complex_sinh,623.563441,2.3081101098e-02,1.9088706303e-02,2.4386194453e-02,2.3081101098e-02,1.9088706303e-02,2.4386194453e-02,5
poly_d2_o4,complex_sinh,630.268425,2.2594878575e-02,1.8702661726e-02,2.3721767586e-02,2.2594878575e-02,1.8702661726e-02,2.3721767586e-02,5
poly_d2_o4,complex_sinh,636.973408,2.2125707672e-02,1.8392019121e-02,2.3123913866e-02,2.2125707672e-02,1.8392019121e-02,2.3123913866e-02,5
poly_d2_o4,complex_sinh,643.678391,2.1696721443e-02,1.8250989193e-02,2.2521799898e-02,2.1696721443e-02,1.8250989193e-02,2.2521799898e-02,5
poly_d2_o4,complex_sinh,650.383374,2.1293220354e-02,1.8013279737e-02,2.1946037663e-02,2.1293220354e-02,1.8013279737e-02,2.1946037663e-02,5
poly_d2_o4,complex_sinh,657.088358,2.0883523599e-02,1.7731537026e-02,2.1396041432e-02,2.0883523599e-02,1.7731537026e-02,2.1396041432e-02,5
poly_d2_o4,complex_sinh,663.793341,2.0463767887e-02,1.7465060961e-02,2.0869047095e-02,2.0463767887e-02,1.7465060961e-02,2.0869047095e-02,5
poly_d2_o4,complex_sinh,670.498324,2.0052377023e-02,1.7201122434e-02,2.0363599634e-02,2.0052377023e-02,1.7201122434e-02,2.0363599634e-02,5
poly_d2_o4,complex_sinh,677.203307,1.9650895527e-02,1.6942745137e-02,1.9878674223e-02,1.9650895527e-02,1.6942745137e-02,1.9878674223e-02,5
poly_d2_o4,complex_sinh,683.908291,1.9258487607e-02,1.6689790316e-02,1.9412231225e-02,1.9258487607e-02,1.6689790316e-02,1.9412231225e-02,5
poly_d2_o4,complex_sinh,690.613274,1.8875085527e-02,1.6442162973e-02,1.8964481318e-02,1.8875085527e-02,1.6442162973e-02,1.8964481318e-02,5
poly_d2_o4,complex_sinh,697.318257,1.8500632917e-02,1.6200122080e-02,1.8533408684e-02,1.8500632917e-02,1.6200122080e-02,1.8533408684e-02,5
poly_d2_o4,complex_sinh,704.023240,1.8118330637e-02,1.5963340005e-02,1.8134852310e-02,1.8118330637e-02,1.5963340005e-02,1.8134852310e-02,5
poly_d2_o4,complex_sinh,710.728223,1.7719312207e-02,1.5731752580e-02,1.7777605624e-02,1.7719312207e-02,1.5731752580e-02,1.7777605624e-02,5
poly_d2_o4,complex_sinh,717.433207,1.7334408445e-02,1.5505628631e-02,1.7428906009e-02,1.7334408445e-02,1.5505628631e-02,1.7428906009e-02,5
poly_d2_o4,complex_sinh,724.138190,1.6963625409e-02,1.5284608333e-02,1.7088549587e-02,1.6963625409e-02,1.5284608333e-02,1.7088549587e-02,5
poly_d2_o4,complex_sinh,730.843173,1.6606317666e-02,1.5068742322e-02,1.6756231810e-02,1.6606317666e-02,1.5068742322e-02,1.6756231810e-02,5
poly_d2_o4,complex_sinh,737.548156,1.6261462649e-02,1.4858061227e-02,1.6431872991e-02,1.6261462649e-02,1.4858061227e-02,1.6431872991e-02,5
poly_d2_o4,complex_sinh,744.253140,1.5929279087e-02,1.4652243956e-02,1.6115014646e-02,1.5929279087e-02,1.4652243956e-02,1.6115014646e-02,5
poly_d2_o4,complex_sinh,750.958123,1.5608560559e-02,1.4451524574e-02,1.5805549126e-02,1.5608560559e-02,1.4451524574e-02,1.5805549126e-02,5
poly_d2_o4,complex_sinh,757.663106,1.5298890960e-02,1.4255545230e-02,1.5503567224e-02,1.5298890960e-02,1.4255545230e-02,1.5503567224e-02,5
poly_d2_o4,complex_sinh,764.368089,1.5000343026e-02,1.4064169386e-02,1.5209027399e-02,1.5000343026e-02,1.4064169386e-02,1.5209027399e-02,5
poly_d2_o4,complex_sinh,771.073073,1.4711752596e-02,1.3877689014e-02,1.4921805513e-02,1.4711752596e-02,1.3877689014e-02,1.4921805513e-02,5
poly_d2_o4,complex_sinh,777.778056,1.4433077163e-02,1.3695613921e-02,1.4641598363e-02,1.4433077163e-02,1.3695613921e-02,1.4641598363e-02,5
poly_d2_o4,complex_sinh,784.483039,1.4163795911e-02,1.3518037580e-02,1.4368715722e-02,1.4163795911e-02,1.3518037580e-02,1.4368715722e-02,5
