task_id,ranking,rank,candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
poly_d2_o6,war,2,point_213,213,0.26136272202954236,0.9995417972147012,0.5339417920392431,0.9995417972147012,0.06834178686378511,"[""1e+1"", ""1e-1"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.1, ""w_u"": 10.0}",11.1,"[10.0, 0.1, 1.0]"
poly_d2_o6,war,3,point_206,206,0.26568029076940436,0.9995404249771622,0.5350794481830394,0.9995404249771622,0.07061847138891658,"[""1e+1"", ""1e-2"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.01, ""w_u"": 10.0}",11.01,"[10.0, 0.01, 1.0]"
poly_d2_o6,war,4,point_199,199,0.26610656221726714,0.9995421713931024,0.5351936543893747,0.9995421713931024,0.070845137385647,"[""1e+1"", ""1e-3"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.001, ""w_u"": 10.0}",11.001,"[10.0, 0.001, 1.0]"
poly_d2_o6,war,5,point_122,122,0.22810132948342302,0.6858665959617745,0.38086357248211467,0.6858665959617745,0.07586054900245487,"[""1e-1"", ""1e+0"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 1.0, ""w_u"": 0.1}",2.1,"[0.1, 1.0, 1.0]"
poly_d2_o6,war,6,point_227,227,0.2773043718646532,0.9995452632712596,0.5382389810251427,0.9995452632712596,0.07693269877902581,"[""1e+1"", ""1e+1"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 10.0, ""w_u"": 10.0}",21.0,"[10.0, 10.0, 1.0]"
poly_d2_o6,war,7,point_115,115,0.22015061991615276,0.6292340894264729,0.3531291789601602,0.6292340894264729,0.0770242684938476,"[""1e-1"", ""1e-1"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.1, ""w_u"": 0.1}",1.2,"[0.1, 0.1, 1.0]"
poly_d2_o6,war,8,point_226,226,0.27837869553768374,0.9995431154626924,0.5385366179525802,0.9995431154626924,0.07753012044246817,"[""1e+1"", ""1e+1"", ""1e-1""]","{""w_Delta2_u"": 0.1, ""w_Delta_u"": 10.0, ""w_u"": 10.0}",20.1,"[10.0, 10.0, 0.1]"
poly_d2_o6,war,9,point_225,225,0.28039492854272996,0.9995450619965444,0.5391010810265422,0.9995450619965444,0.07865710005653997,"[""1e+1"", ""1e+1"", ""1e-2""]","{""w_Delta2_u"": 0.01, ""w_Delta_u"": 10.0, ""w_u"": 10.0}",20.01,"[10.0, 10.0, 0.01]"
poly_d2_o6,war,10,point_224,224,0.28061069220036317,0.9995426064981269,0.5391604999002392,0.9995426064981269,0.07877839330235145,"[""1e+1"", ""1e+1"", ""1e-3""]","{""w_Delta2_u"": 0.001, ""w_Delta_u"": 10.0, ""w_u"": 10.0}",20.001,"[10.0, 10.0, 0.001]"
poly_d2_o6,realad,1,point_068,68,0.48666039724384336,0.4872189083730692,0.48666071736142924,0.4861025263497893,0.4872189083730692,"[""1e-2"", ""1e-1"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.1, ""w_u"": 0.01}",100.11,"[0.01, 0.1, 100.0]"
poly_d2_o6,realad,2,point_061,61,0.5062296532283317,0.5133635820180782,0.5062792213529123,0.49919486068774627,0.5133635820180782,"[""1e-2"", ""1e-2"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.01, ""w_u"": 0.01}",100.02,"[0.01, 0.01, 100.0]"
