bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.01, 0.01, 0.001]",1.5039560672321095,0.18587694652226197,0.528725601310107,1.5039560672321095,0.021
"[0.01, 0.01, 0.1]",1.4923508397848535,0.1874777415564559,0.5289447655972642,1.4923508397848535,0.12000000000000001
"[10.0, 0.001, 100.0]",0.9996832003324038,0.28178605769767623,0.5307511544671989,0.9996832003324038,110.001
"[10.0, 0.01, 100.0]",0.9996835540475286,0.2833589044676608,0.5322304357036013,0.9996835540475286,110.01
"[10.0, 0.1, 100.0]",0.9996835202289158,0.2834538412374154,0.5323195786655115,0.9996835202289158,110.1
"[0.01, 0.001, 0.1]",1.5061432447407972,0.1891511911596326,0.5337497436062671,1.5061432447407972,0.111
"[10.0, 1.0, 100.0]",0.9996845978024228,0.29165521023257934,0.5399659447949816,0.9996845978024228,111.0
"[0.01, 0.001, 0.01]",1.5176116133262436,0.19387331958461168,0.542424558179031,1.5176116133262436,0.020999999999999998
"[0.01, 0.001, 0.001]",1.5184166954411218,0.19595747269763156,0.5454769455628089,1.5184166954411218,0.012
"[0.01, 0.1, 100.0]",0.7402919397142087,0.4054766442689076,0.547878719695005,0.7402919397142087,100.11
"[0.01, 10.0, 100.0]",0.9994605287642926,0.314648365002456,0.5607839345596259,0.9994605287642926,110.01
"[0.01, 0.01, 100.0]",0.7436303650880418,0.42343718510029377,0.5611423603222129,0.7436303650880418,100.02
"[0.01, 0.001, 100.0]",0.7416630314849237,0.42548578624812083,0.5617535741608838,0.7416630314849237,100.011
"[1.0, 100.0, 0.01]",0.9988163088056172,0.355903880952677,0.5962236163242334,0.9988163088056172,101.01
"[1.0, 100.0, 0.001]",0.998823506047994,0.35652372299393936,0.5967447318494654,0.998823506047994,101.001
"[1.0, 100.0, 0.1]",0.9988177971499844,0.3591955715096801,0.5989748988741752,0.9988177971499844,101.1
"[10.0, 10.0, 100.0]",0.9996956227440192,0.3617964039376446,0.6014035927237136,0.9996956227440192,120.0
"[0.001, 0.1, 10.0]",1.2923536330892473,0.28219062003736894,0.6038957468214204,1.2923536330892473,10.101
"[0.001, 1.0, 100.0]",0.9720440669520004,0.3875234433040613,0.6137506528456999,0.9720440669520004,101.001
"[1.0, 100.0, 1.0]",0.9988189562285685,0.3871489628303916,0.6218454172535363,0.9988189562285685,102.0
"[0.1, 100.0, 0.01]",0.9999268315349458,0.3983926164548432,0.6311604127942502,0.9999268315349458,100.11
"[0.1, 100.0, 0.001]",0.9999342139501021,0.39891511136368607,0.6315764944282402,0.9999342139501021,100.101
"[0.1, 100.0, 0.1]",0.9999343357274766,0.4018754529855117,0.6339156601049121,0.9999343357274766,100.19999999999999
"[0.1, 100.0, 1.0]",0.9999278863633839,0.4263020956386977,0.6528945959680507,0.9999278863633839,101.1
"[0.01, 100.0, 0.01]",1.0215715800498344,0.4244829264236805,0.6585132450078867,1.0215715800498344,100.02000000000001
"[0.01, 100.0, 0.001]",1.0210592666400842,0.4249417702992768,0.6587038274873759,1.0210592666400842,100.01100000000001
"[0.001, 0.01, 10.0]",1.4504413778720209,0.29995730245715485,0.6595987288334705,1.4504413778720209,10.011
"[0.01, 100.0, 0.1]",1.0211135128841655,0.427299678571127,0.6605463464739157,1.0211135128841655,100.11
"[0.001, 100.0, 0.01]",1.0346668408121968,0.4232651736896133,0.6617691743253519,1.0346668408121968,100.01100000000001
"[0.001, 100.0, 0.001]",1.0342975983408982,0.4235626808046939,0.6618835724680945,1.0342975983408982,100.00200000000001
"[0.001, 100.0, 0.1]",1.0346661672109407,0.42487023339994456,0.6630225154200561,1.0346661672109407,100.101
"[0.001, 0.1, 100.0]",0.9348328146170367,0.47417914658192684,0.6657914284758306,0.9348328146170367,100.101
"[0.001, 0.001, 10.0]",1.4800122242503766,0.3033655867976917,0.6700632633397181,1.4800122242503766,10.002
"[0.01, 100.0, 1.0]",1.0211143428205094,0.44728878608988687,0.6758202385687767,1.0211143428205094,101.01
"[0.001, 100.0, 1.0]",1.0346847411141415,0.44508108548297054,0.6786152132893489,1.0346847411141415,101.001
"[0.001, 0.01, 100.0]",0.9582897557113348,0.4975426102967769,0.6904998091797551,0.9582897557113348,100.011
"[0.001, 0.001, 100.0]",0.957746145263103,0.5001453379420074,0.6921071228395714,0.957746145263103,100.002
"[0.001, 10.0, 100.0]",1.4959803949037251,0.3465992382727316,0.7200733749726977,1.4959803949037251,110.001
"[1.0, 100.0, 10.0]",0.9988202275331584,0.5325614567692393,0.7293374770472458,0.9988202275331584,111.0
"[10.0, 100.0, 0.01]",0.9997866239884805,0.5405428909784483,0.7351377776256067,0.9997866239884805,110.01
"[10.0, 100.0, 0.001]",0.9997866529629649,0.5406210485345787,0.735190933455871,0.9997866529629649,110.001
"[10.0, 100.0, 0.1]",0.9997863621264677,0.541211858529297,0.7355924382283373,0.9997863621264677,110.1
"[10.0, 100.0, 1.0]",0.9997866643128587,0.5507068303459703,0.7420170785944924,0.9997866643128587,111.0
"[0.1, 100.0, 10.0]",0.9999498498666171,0.5698855136905999,0.7548886897126458,0.9999498498666171,110.1
"[0.001, 10.0, 10.0]",2.2322690778682674,0.26085546598367737,0.763085572205556,2.2322690778682674,20.000999999999998
"[0.01, 100.0, 10.0]",1.0212859429234948,0.5720701560386713,0.7643606535715619,1.0212859429234948,110.01
"[0.001, 100.0, 10.0]",1.0342356813873168,0.569857675708862,0.7677025084826463,1.0342356813873168,110.001
"[10.0, 100.0, 10.0]",0.9997874820444526,0.6081430471596851,0.7797524003442518,0.9997874820444526,120.0
"[0.001, 0.1, 1.0]",2.0950931675074624,0.3310926154389111,0.8328684628548727,2.0950931675074624,1.101
