panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,298.348883,2.0471366320e-04,1.8446596637e-04,8.2926430370e-04,1.4860811831e-04,1.4740727782e-04,1.6106263542e-04,5
chirp_a2,complex_sinh,301.701117,1.9392715185e-04,1.6958249898e-04,2.3552317894e-04,1.4860811831e-04,1.4740727782e-04,1.5246896233e-04,5
chirp_a2,complex_sinh,305.053352,2.0606760373e-04,1.8370898960e-04,2.1299322022e-04,1.4709218502e-04,1.4516980934e-04,1.4860811831e-04,5
chirp_a2,complex_sinh,308.405587,3.5759175218e-04,3.1573616482e-04,5.7702030993e-04,1.4709218502e-04,1.4128114780e-04,1.4860811831e-04,5
chirp_a2,complex_sinh,311.757821,7.8777000912e-04,4.1700436711e-04,1.1402867438e-03,1.4652917966e-04,1.3903070235e-04,1.4777376049e-04,5
chirp_a2,complex_sinh,315.110056,5.8264200899e-04,4.0515726053e-04,1.2672712150e-03,1.4238229238e-04,1.3903070235e-04,1.4363681784e-04,5
chirp_a2,complex_sinh,318.462291,2.5938296819e-04,1.4998300020e-04,1.6051849215e-03,1.3903070235e-04,1.3718752987e-04,1.4091153200e-04,5
chirp_a2,complex_sinh,321.814525,7.3768381067e-04,1.8493221550e-04,8.0023207512e-04,1.3903070235e-04,1.3520528662e-04,1.4091153200e-04,5
chirp_a2,complex_sinh,325.166760,2.0631022508e-04,1.6211374574e-04,3.6282605616e-03,1.3903070235e-04,1.3327771579e-04,1.4091153200e-04,5
chirp_a2,complex_sinh,328.518994,1.0374386299e-03,4.0359879375e-04,1.0856011241e-03,1.3743999349e-04,1.3295484536e-04,1.3903070235e-04,5
chirp_a2,complex_sinh,331.871229,1.5353581965e-03,3.0323071195e-04,6.2024230278e-03,1.3362049753e-04,1.3295484536e-04,1.3903070235e-04,5
chirp_a2,complex_sinh,335.223464,9.6543816323e-04,3.4589878968e-04,1.5072020101e-03,1.3261238696e-04,1.3170888993e-04,1.3860488155e-04,5
chirp_a2,complex_sinh,338.575698,2.5028963458e-04,2.4077402462e-04,1.2314716398e-03,1.3261238696e-04,1.2987131938e-04,1.3813920185e-04,5
chirp_a2,complex_sinh,341.927933,4.2178202233e-04,1.6761478700e-04,5.6453030477e-04,1.3261238696e-04,1.2807858837e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,345.280168,2.1142738906e-04,1.6529887049e-04,2.8226646015e-04,1.3261238696e-04,1.2752524506e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,348.632402,1.6301495277e-04,1.3630663022e-04,2.7225366713e-04,1.3261238696e-04,1.2752524506e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,351.984637,2.9922103298e-04,1.3924739373e-04,3.3601412907e-04,1.3261238696e-04,1.2752524506e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,355.336872,3.1375638144e-04,1.6597930891e-04,6.2421807289e-04,1.3261238696e-04,1.2752524506e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,358.689106,4.9297157090e-04,3.1745563612e-04,7.3771542342e-04,1.3261238696e-04,1.2752524506e-04,1.3802257723e-04,5
chirp_a2,complex_sinh,362.041341,4.6779885093e-04,2.3503960524e-04,2.9866965008e-03,1.3194962953e-04,1.2752524506e-04,1.3612252770e-04,5
chirp_a2,complex_sinh,365.393575,2.4072530926e-04,2.3513923080e-04,6.7699940890e-04,1.2752524506e-04,1.2642027315e-04,1.2920030477e-04,5
chirp_a2,complex_sinh,368.745810,1.5774491882e-04,1.2387519636e-04,4.0062637166e-04,1.2295287259e-04,1.2212663474e-04,1.2752524506e-04,5
chirp_a2,complex_sinh,372.098045,2.2408569971e-04,1.5599631418e-04,3.8073857353e-04,1.2212663474e-04,1.2093531930e-04,1.2752524506e-04,5
chirp_a2,complex_sinh,375.450279,1.6386524249e-04,1.5476944838e-04,4.2493455874e-04,1.2212663474e-04,1.2093531930e-04,1.2752524506e-04,5
