candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_020,20,0.4859280288219452,0.002853004029020667,0.9971464276313782,complete,118,0.027320019900798798,0.16813740134239197,1.114349603652954,complete,773,"[""1e-1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.1}","[0.1, 1000.0]"
point_021,21,0.4658694267272949,0.011624260805547237,1.0183587074279785,complete,120,0.0017657805001363158,0.010716339573264122,0.11564884334802628,complete,801,"[""1e+0"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1.0}","[1.0, 0.001]"
point_022,22,0.3921140432357788,0.011379970237612724,1.0185341835021973,complete,119,0.0016303197480738163,0.011239105835556984,0.1212816908955574,complete,793,"[""1e+0"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1.0}","[1.0, 0.01]"
point_023,23,0.4173266589641571,0.00278468313626945,1.0385735034942627,complete,124,0.0017046579159796238,0.011130290105938911,0.1193685382604599,complete,787,"[""1e+0"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1.0}","[1.0, 0.1]"
point_024,24,0.4160248935222626,0.004772116895765066,1.0373284816741943,complete,124,0.0016578776994720101,0.009972386062145233,0.11052440851926804,complete,793,"[""1e+0"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 1.0}","[1.0, 1.0]"
point_025,25,0.40712881088256836,0.012130836956202984,1.0109350681304932,complete,119,0.0010899128392338753,0.0022813219111412764,0.10479799658060074,complete,811,"[""1e+0"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 1.0}","[1.0, 10.0]"
point_026,26,0.5479586124420166,0.0013001194456592202,0.966696560382843,complete,123,0.003923824056982994,0.0007894939044490457,0.12170398980379105,complete,785,"[""1e+0"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 1.0}","[1.0, 100.0]"
point_027,27,0.6267277598381042,0.0038234288804233074,0.9926638603210449,complete,121,0.02483334019780159,0.0018882107688114047,0.13244502246379852,complete,786,"[""1e+0"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 1.0}","[1.0, 1000.0]"
point_028,28,0.6558901071548462,0.016725661233067513,0.9585059285163879,complete,119,0.0026520676910877228,0.006473127286881208,0.1405663788318634,complete,792,"[""1e+1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 10.0}","[10.0, 0.001]"
point_029,29,0.6878682374954224,0.01700321026146412,0.9536497592926025,complete,120,0.002772332401946187,0.006661516148597002,0.13984902203083038,complete,789,"[""1e+1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 10.0}","[10.0, 0.01]"
point_030,30,0.8082989454269409,0.01880219765007496,0.9464845061302185,complete,121,0.0027987915091216564,0.00620738510042429,0.13830500841140747,complete,790,"[""1e+1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 10.0}","[10.0, 0.1]"
point_031,31,0.6763346195220947,0.017616696655750275,0.96034175157547,complete,118,0.002264266600832343,0.004999344237148762,0.11766569316387177,complete,791,"[""1e+1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 10.0}","[10.0, 1.0]"
point_032,32,0.7089939117431641,0.015054123476147652,0.9373051524162292,complete,120,0.0033292672596871853,0.004671547096222639,0.13591718673706055,complete,787,"[""1e+1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 10.0}","[10.0, 10.0]"
point_033,33,0.7727763056755066,0.01732257381081581,0.9171401262283325,complete,122,0.002353073563426733,0.0010729897767305374,0.11294618993997574,complete,812,"[""1e+1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 10.0}","[10.0, 100.0]"
