task,candidate,lambda_ic,lambda_bc,war_rel_error,ad_rel_error,war_loss,ad_loss,war_steps,ad_steps,war_ms_per_step,ad_ms_per_step,war_peak_mb,ad_peak_mb,geomean,minimax,mean_error
dynamic_plate_2d_o4,point_048,1000.0,1000.0,0.7688146829605103,0.7908342480659485,0.1492324024438858,0.30730777978897095,2095,1277,28.643596134101863,46.99083804477447,599.77880859375,738.71044921875,0.7797467420266248,0.7908342480659485,0.7798244655132294
strain_gradient_plate_2d_o6,point_000,0.001,0.001,4.783811092376709,3.186647415161133,0.17663507163524628,0.4746498167514801,850,148,70.61487550244613,406.1655821782109,1972.509765625,4984.68310546875,3.9043974249737174,4.783811092376709,3.985229253768921
strain_gradient_plate_2d_o6,point_001,0.001,0.01,3.6260321140289307,2.1201417446136475,0.8944652080535889,0.5020620226860046,853,149,70.34199508420188,403.2976389081286,1972.509765625,4984.68310546875,2.772670563240864,3.6260321140289307,2.873086929321289
strain_gradient_plate_2d_o6,point_002,0.001,0.1,1.4717483520507812,1.2898197174072266,0.8896164298057556,0.529931902885437,855,144,70.22899175117239,416.813453555935,1972.509765625,4984.68310546875,1.3777844691883743,1.4717483520507812,1.380784034729004
strain_gradient_plate_2d_o6,point_003,0.001,1.0,0.9609955549240112,0.7932459115982056,0.4276900887489319,0.6386324763298035,855,151,70.23917217003672,399.34357519674774,1972.509765625,4984.68310546875,0.8731012512919224,0.9609955549240112,0.8771207332611084
strain_gradient_plate_2d_o6,point_004,0.001,10.0,1.0007219314575195,0.9972030520439148,0.9399444460868835,0.8653859496116638,850,149,70.63053852275891,403.9923285927949,1972.509765625,4984.68310546875,0.998960942327937,1.0007219314575195,0.9989624917507172
strain_gradient_plate_2d_o6,point_005,0.001,100.0,1.0002316236495972,0.9989736676216125,0.8883866667747498,0.859200119972229,856,153,70.12774968937596,392.87751708544937,1972.509765625,4984.68310546875,0.9996024477502836,1.0002316236495972,0.9996026456356049
strain_gradient_plate_2d_o6,point_006,0.001,1000.0,1.0000159740447998,0.9998547434806824,0.937511146068573,0.8735703229904175,860,148,69.80683111997192,407.07244007923714,1972.509765625,4984.68310546875,0.9999353555131192,1.0000159740447998,0.9999353587627411
strain_gradient_plate_2d_o6,point_007,0.01,0.001,5.236993789672852,2.652080774307251,0.32321158051490784,0.49723920226097107,846,150,70.97734535117381,400.7119275505344,1972.509765625,4984.68310546875,3.726785551216737,5.236993789672852,3.9445372819900513
strain_gradient_plate_2d_o6,point_008,0.01,0.01,3.5277199745178223,1.8960787057876587,0.9303465485572815,0.5115208625793457,844,152,71.0918216003873,397.047200852907,1972.509765625,4984.68310546875,2.5862781605359126,3.5277199745178223,2.7118993401527405
strain_gradient_plate_2d_o6,point_009,0.01,0.1,1.5246344804763794,1.2731865644454956,0.8656741380691528,0.5139126777648926,865,151,69.39516354546036,398.40174336849856,1972.509765625,4984.68310546875,1.393249488150943,1.5246344804763794,1.3989105224609375
strain_gradient_plate_2d_o6,point_010,0.01,1.0,0.9378282427787781,0.7987034916877747,0.4029444754123688,0.6429378986358643,868,150,69.12588847646585,400.7446705425779,1972.509765625,4984.68310546875,0.8654748362088988,0.9378282427787781,0.8682658672332764
strain_gradient_plate_2d_o6,point_011,0.01,10.0,0.9990139007568359,0.9952926635742188,0.9158475995063782,0.8884743452072144,846,152,70.94574084914956,396.7963982324459,1972.509765625,4984.68310546875,0.9971515462716495,0.9990139007568359,0.9971532821655273
strain_gradient_plate_2d_o6,point_012,0.01,100.0,1.0000334978103638,0.9986912608146667,0.9123687744140625,0.8658903241157532,857,149,70.08199725200095,403.6404479095,1972.509765625,4984.68310546875,0.9993621539687869,1.0000334978103638,0.9993623793125153
strain_gradient_plate_2d_o6,point_013,0.01,1000.0,0.9999982714653015,0.99983149766922,0.9566240906715393,0.8741227984428406,861,148,69.7392329084714,407.16975087904046,1972.509765625,4984.68310546875,0.9999148810902774,0.9999982714653015,0.9999148845672607
strain_gradient_plate_2d_o6,point_014,0.1,0.001,2.3094191551208496,1.4858510494232178,0.0011091285850852728,0.5536608695983887,855,152,70.19001987071066,394.9534307528091,1972.509765625,4984.68310546875,1.8524181156516462,2.3094191551208496,1.8976351022720337
strain_gradient_plate_2d_o6,point_015,0.1,0.01,0.5426556468009949,1.3565832376480103,0.00536034069955349,0.558721125125885,845,147,71.03066876883338,408.5647167929379,1972.509765625,4984.68310546875,0.8579962437361067,1.3565832376480103,0.9496194422245026
strain_gradient_plate_2d_o6,point_016,0.1,0.1,0.23504120111465454,1.1134309768676758,0.0014451263705268502,0.5399032235145569,853,151,70.41163479413615,397.6996622930299,1972.509765625,4984.68310546875,0.5115683279496901,1.1134309768676758,0.6742360889911652
strain_gradient_plate_2d_o6,point_017,0.1,1.0,0.07804536074399948,0.785259485244751,0.002370744477957487,0.6185785531997681,854,151,70.3076231260664,398.03458894572117,1972.509765625,4984.68310546875,0.24755981055812337,0.785259485244751,0.43165242299437523
strain_gradient_plate_2d_o6,point_018,0.1,10.0,0.982640266418457,0.979936420917511,0.9453310370445251,0.8913716673851013,850,147,70.6251604920801,408.6239933207327,1972.509765625,4984.68310546875,0.9812874123943159,0.982640266418457,0.981288343667984
strain_gradient_plate_2d_o6,point_019,0.1,100.0,0.9979769587516785,0.9966320395469666,0.9115538597106934,0.8916224837303162,845,150,71.08727060258389,400.7454960917433,1972.509765625,4984.68310546875,0.9973042724372357,0.9979769587516785,0.9973044991493225
