budget_seconds,candidate_id,candidate_index,completed_at,final_metrics_source,history_final_loss,history_final_rel_error,history_points,json_path,json_protocol_id,log_final_has_loss,log_final_has_rel_error,log_final_status,log_path,loss,method,method_name,rel_error,status,steps,task_id,weight_labels,weight_map,weights
60.0,point_010,10,2026-08-06T20:50:43.281792+00:00,text_log_final_line,0.00020283652106062498,0.08776458184428722,13,results/poly_d2_o4/points/point_010/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_010/real_tanh_autodiff.log,0.00020257041655752703,realad,real_tanh_autodiff,0.08739430300739265,complete,392,poly_d2_o4,"['1e-2', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.01}","[0.01, 1.0]"
60.0,point_011,11,2026-08-06T20:51:46.074697+00:00,text_log_final_line,5.174954322239322e-05,0.030859801258422755,13,results/poly_d2_o4/points/point_011/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_011/war.log,5.1690908599436155e-05,war,war,0.030617897782816143,complete,240,poly_d2_o4,"['1e-2', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.01}","[0.01, 10.0]"
60.0,point_011,11,2026-08-06T20:52:49.013552+00:00,text_log_final_line,0.0014202102610767833,0.29606938620971945,13,results/poly_d2_o4/points/point_011/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_011/real_tanh_autodiff.log,0.0014171155872803464,realad,real_tanh_autodiff,0.29530741970200286,complete,393,poly_d2_o4,"['1e-2', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.01}","[0.01, 10.0]"
60.0,point_012,12,2026-08-06T20:53:51.693254+00:00,text_log_final_line,0.0003403419352629286,0.0841893225704104,13,results/poly_d2_o4/points/point_012/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_012/war.log,0.0003397142088688715,war,war,0.08479171750818539,complete,240,poly_d2_o4,"['1e-2', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.01}","[0.01, 100.0]"
60.0,point_012,12,2026-08-06T20:54:54.532777+00:00,text_log_final_line,0.017998894166193248,1.1569813531369515,13,results/poly_d2_o4/points/point_012/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_012/real_tanh_autodiff.log,0.017980724770010923,realad,real_tanh_autodiff,1.1539190772467784,complete,394,poly_d2_o4,"['1e-2', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.01}","[0.01, 100.0]"
60.0,point_013,13,2026-08-06T20:55:57.441366+00:00,text_log_final_line,0.011267797438540467,0.36548079895940955,13,results/poly_d2_o4/points/point_013/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_013/war.log,0.011171428369906007,war,war,0.3648341746378378,complete,240,poly_d2_o4,"['1e-2', '1e+3']","{'w_Delta_u': 1000.0, 'w_u': 0.01}","[0.01, 1000.0]"
60.0,point_013,13,2026-08-06T20:57:00.469915+00:00,text_log_final_line,0.11802846397217068,1.730548053378942,13,results/poly_d2_o4/points/point_013/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_013/real_tanh_autodiff.log,0.117817462611311,realad,real_tanh_autodiff,1.7225484045550474,complete,393,poly_d2_o4,"['1e-2', '1e+3']","{'w_Delta_u': 1000.0, 'w_u': 0.01}","[0.01, 1000.0]"
60.0,point_014,14,2026-08-06T20:58:03.480229+00:00,text_log_final_line,1.675431379291839e-05,0.04532097329121849,13,results/poly_d2_o4/points/point_014/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_014/war.log,1.6740385369324104e-05,war,war,0.04533343959737343,complete,240,poly_d2_o4,"['1e-1', '1e-3']","{'w_Delta_u': 0.001, 'w_u': 0.1}","[0.1, 0.001]"
60.0,point_014,14,2026-08-06T20:59:08.788801+00:00,text_log_final_line,0.0033245676336152953,0.28125599286770525,13,results/poly_d2_o4/points/point_014/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_014/real_tanh_autodiff.log,0.0033222285335203863,realad,real_tanh_autodiff,0.27984513847737114,complete,392,poly_d2_o4,"['1e-1', '1e-3']","{'w_Delta_u': 0.001, 'w_u': 0.1}","[0.1, 0.001]"
60.0,point_015,15,2026-08-06T21:00:11.643125+00:00,text_log_final_line,2.2230675017426756e-05,0.027610863654749976,13,results/poly_d2_o4/points/point_015/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_015/war.log,2.2213748576584145e-05,war,war,0.02760054365840375,complete,240,poly_d2_o4,"['1e-1', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.1}","[0.1, 0.01]"
