elapsed_seconds,loss,method,pressure_rel_error,seed,step,velocity_rel_error
250.029689,0.009103702381253242,war,0.10974375158548355,1,4391,0.014580506831407547
260.048932,0.007958955131471157,war,0.11025074124336243,1,4578,0.012656754814088345
270.002523,0.01711735501885414,war,0.08784347027540207,1,4764,0.025034138932824135
280.040501,0.0032338700257241726,war,0.08761987835168839,1,4951,0.008439992554485798
290.036479,0.018534155562520027,war,0.09347410500049591,1,5135,0.027409752830863
300.034329,0.009357668459415436,war,0.08394680172204971,1,5322,0.0164299625903368
310.043262,0.014234788715839386,war,0.09443335980176926,1,5509,0.02495618537068367
320.032992,0.011393415741622448,war,0.07999595999717712,1,5695,0.01274468470364809
330.007414,0.0028303680010139942,war,0.10735022276639938,1,5881,0.008473733440041542
340.018139,0.005923060700297356,war,0.07485266029834747,1,6068,0.010867586359381676
350.000463,0.008184854872524738,war,0.07112862169742584,1,6252,0.01738101802766323
360.048691,0.013101758435368538,war,0.08771666884422302,1,6440,0.02812143974006176
370.048142,0.002766982652246952,war,0.07541128247976303,1,6627,0.007552831433713436
380.005417,0.008046015165746212,war,0.06581876426935196,1,6813,0.01799546554684639
390.041294,0.023229148238897324,war,0.06701057404279709,1,7000,0.020311465486884117
400.015449,0.002411856781691313,war,0.06063806265592575,1,7187,0.00612201914191246
410.002161,0.016359763219952583,war,0.07725268602371216,1,7374,0.02216215990483761
420.033021,0.005332367494702339,war,0.06737680733203888,1,7560,0.008530691266059875
430.024867,0.00982486642897129,war,0.05691489949822426,1,7747,0.014554495923221111
440.036435,0.00822187215089798,war,0.06510637700557709,1,7934,0.016533399000763893
450.042758,0.026868050917983055,war,0.09442861378192902,1,8113,0.03516140207648277
460.044774,0.003531556110829115,war,0.0580437108874321,1,8286,0.007067167200148106
470.009501,0.0019411849789321423,war,0.06066153571009636,1,8458,0.008005388081073761
480.038543,0.00544342678040266,war,0.059202928096055984,1,8630,0.012019716203212738
490.05039,0.002237020991742611,war,0.0544157400727272,1,8803,0.006104731000959873
500.01774,0.0069892932660877705,war,0.06393145024776459,1,8975,0.012769925408065319
510.049777,0.011416018940508366,war,0.08967222273349762,1,9148,0.01703203283250332
520.033131,0.004195572808384895,war,0.06084560975432396,1,9321,0.009506162256002426
530.030608,0.0019837841391563416,war,0.08990884572267532,1,9494,0.005153965670615435
540.028498,0.0025664297863841057,war,0.06233909726142883,1,9667,0.00637932401150465
550.027734,0.0025870208628475666,war,0.04977159947156906,1,9838,0.008718566969037056
560.040264,0.0032283621840178967,war,0.06291323155164719,1,10011,0.007281084544956684
570.055415,0.005305441562086344,war,0.055264126509428024,1,10184,0.013337917625904083
580.022471,0.01005715224891901,war,0.05157057195901871,1,10357,0.020173052325844765
590.022714,0.0026934463530778885,war,0.046516746282577515,1,10530,0.005886971019208431
600.054933,0.0018683879170566797,war,0.07039795070886612,1,10704,0.00595580879598856
610.040644,0.0022918086033314466,war,0.0504208542406559,1,10877,0.005084128584712744
620.011499,0.0009902759920805693,war,0.0454423688352108,1,11047,0.00586533360183239
630.01885,0.002066013403236866,war,0.04705816134810448,1,11220,0.007080258801579475
640.001981,0.0024148407392203808,war,0.044804517179727554,1,11393,0.007956566289067268
650.033274,0.0021472855005413294,war,0.050341345369815826,1,11567,0.008887221105396748
660.047622,0.001649228623136878,war,0.052394527941942215,1,11741,0.006272620987147093
670.010728,0.0016703795408830047,war,0.04768594354391098,1,11916,0.005119737703353167
680.033022,0.00550419557839632,war,0.05192966386675835,1,12104,0.013065979816019535
690.007772,0.0040213800966739655,war,0.05102527141571045,1,12288,0.008316319435834885
700.032206,0.001740897074341774,war,0.05395154654979706,1,12476,0.00522590009495616
710.041769,0.002624420914798975,war,0.05276113376021385,1,12664,0.008245225064456463
720.016043,0.002515003550797701,war,0.0757194459438324,1,12850,0.005555196199566126
730.036167,0.0016940466593950987,war,0.046791620552539825,1,13037,0.00644891569390893
740.051116,0.0032950681634247303,war,0.04913168400526047,1,13225,0.007061969488859177
750.039847,0.0014584936434403062,war,0.05201267823576927,1,13412,0.005451071076095104
760.014474,0.003473159158602357,war,0.05047845095396042,1,13597,0.005522781051695347
770.044903,0.0022137349005788565,war,0.04775507003068924,1,13784,0.0052555943839251995
780.004299,0.0015513041289523244,war,0.06456153839826584,1,13970,0.006513542495667934
790.044884,0.0025735567323863506,war,0.050334155559539795,1,14158,0.006384991575032473
800.001187,0.002177855931222439,war,0.054048091173172,1,14345,0.004976405296474695
810.030806,0.001527376938611269,war,0.043300967663526535,1,14532,0.007320597767829895
820.025948,0.0034040333703160286,war,0.04845045879483223,1,14716,0.012206422165036201
830.025677,0.0016886615194380283,war,0.049543652683496475,1,14903,0.005228270776569843
840.040148,0.002599302213639021,war,0.04980272427201271,1,15090,0.0060596405528485775
850.03141,0.0021945200860500336,war,0.04378645867109299,1,15277,0.008004429750144482
860.001717,0.0017815334722399712,war,0.041999451816082,1,15464,0.006092849653214216
870.041894,0.0025935135781764984,war,0.048467546701431274,1,15651,0.00508106080815196
880.022431,0.002388824475929141,war,0.050545159727334976,1,15837,0.004768886137753725
890.004978,0.00115349015686661,war,0.04273911193013191,1,16021,0.004987045656889677
900.028003,0.0008844053372740746,war,0.04729369282722473,1,16208,0.004613376222550869
910.037589,0.0012551200343295932,war,0.03795464336872101,1,16394,0.005042594391852617
920.023537,0.0020626692567020655,war,0.04816213622689247,1,16580,0.005314557813107967
930.029538,0.0015800397377461195,war,0.048178527504205704,1,16766,0.004592609591782093
940.021311,0.002471693092957139,war,0.05364666134119034,1,16953,0.005265504587441683
950.016261,0.0010290556820109487,war,0.04681354761123657,1,17138,0.004939354490488768
960.000467,0.0017341062193736434,war,0.040963899344205856,1,17325,0.004692877642810345
970.037412,0.0015422024298459291,war,0.039006102830171585,1,17513,0.005266945343464613
980.027939,0.0017836828483268619,war,0.043548159301280975,1,17700,0.005193526390939951
990.052622,0.0016153203323483467,war,0.040916185826063156,1,17887,0.006048961076885462
1000.019842,0.0013177836081013083,war,0.03851255774497986,1,18074,0.005576064810156822
1010.01537,0.0015381166012957692,war,0.057730600237846375,1,18262,0.004654210526496172
1020.009041,0.0016154651530086994,war,0.044164836406707764,1,18446,0.005614695604890585
1030.01963,0.0010328891221433878,war,0.04636259377002716,1,18633,0.004465152509510517
1040.021116,0.0018387922318652272,war,0.03941786661744118,1,18820,0.005160401109606028
1050.051744,0.0018413991201668978,war,0.05083909630775452,1,19006,0.0054773008450865746
1060.046882,0.0021905573084950447,war,0.04702439904212952,1,19192,0.0046999831683933735
1070.023758,0.0010538920760154724,war,0.04126720875501633,1,19378,0.0055259400978684425
1080.032719,0.0027776514180004597,war,0.04188846796751022,1,19563,0.005823616404086351
1090.050006,0.002363125793635845,war,0.03932294622063637,1,19751,0.005286586005240679
1100.030373,0.0013939039781689644,war,0.04004153981804848,1,19938,0.005155219230800867
1110.001858,0.0017999722622334957,war,0.03640277683734894,1,20124,0.005047074053436518
1120.018866,0.002191696083173156,war,0.048623066395521164,1,20311,0.005242238286882639
1130.033231,0.0017712544649839401,war,0.048035603016614914,1,20498,0.004796464461833239
1140.005582,0.0009074966073967516,war,0.04330906644463539,1,20685,0.005178461782634258
1150.036484,0.001150204217992723,war,0.03864583373069763,1,20871,0.004769468680024147
1160.016813,0.0011354180751368403,war,0.04250718280673027,1,21058,0.005014333873987198
1170.010368,0.0010905714007094502,war,0.0413166768848896,1,21244,0.0048834169283509254
1180.053883,0.0011740229092538357,war,0.043572794646024704,1,21431,0.005389831960201263
1190.00589,0.0019953609444200993,war,0.04257970675826073,1,21616,0.006073325872421265
1200.04796,0.0007720248540863395,war,0.03980414569377899,1,21802,0.004902716726064682
0.0,26.98679542541504,real_tanh_autodiff,1.1183891296386719,1,0,1.038610577583313
10.118506,24.467761993408203,real_tanh_autodiff,1.0250059366226196,1,45,0.9476221203804016
20.009671,6.66668701171875,real_tanh_autodiff,1.0101820230484009,1,89,0.4568006098270416
30.091154,2.2198901176452637,real_tanh_autodiff,1.009493350982666,1,136,0.25606343150138855
40.090632,1.811948537826538,real_tanh_autodiff,1.002970814704895,1,184,0.24443866312503815
50.074335,1.9157825708389282,real_tanh_autodiff,1.0064510107040405,1,232,0.22826896607875824
